,Site_name,Site_number,Study_area,Plant_association,Age,#TREES
PL,Plantation,1,Wind River Experimental Forest,TSHE/BENE,49,776
MC,Martha Creek,2,Wind River Experimental Forest,TSHE/BENE/GASH,99,508
PC,Panther Creek,3,Wind River Experimental Forest,TSHE/BENE/GASH,156,782
OH,Ohanepecosh,4,Mount Rainier National Park,TSHE/ACTR,280,508
CR,Carbon River,6,Mount Rainier National Park,TSHE/POMU/OXOR,500,966
TC,Trout Creek,5,Wind River Experimental Forest,TSHE/VAAL/GASH,500,776
CF,Cedar Flats,7,Cedar Flats Research Natural Area,TSHE/TITR,650,830
CH,Chinook Creek,8,Mount Rainier National Park,ABAM/VAAL,950,1032
